Gene	GOID	ONTOLOGY	TERM
MYCTH_100068	GO:0005576	CC	extracellular region
MYCTH_100068	GO:0005975	BP	carbohydrate metabolic process
MYCTH_100068	GO:0030248	MF	cellulose binding
MYCTH_100068	GO:0004553	MF	hydrolase activity
MYCTH_100068	GO:0004553	MF	 hydrolyzing O-glycosyl compounds
MYCTH_100068	GO:0005975	BP	hydrolase activity
MYCTH_100068	GO:0005975	BP	 hydrolyzing O-glycosyl compounds
MYCTH_100068	GO:0005576	CC	carbohydrate metabolic process
MYCTH_100068	GO:0030248	MF	carbohydrate metabolic process
MYCTH_100089	GO:0005506	MF	iron ion binding
MYCTH_100089	GO:0016702	MF	oxidoreductase activity
MYCTH_100089	GO:0055114	BP	 acting on single donors with incorporation of molecular oxygen
MYCTH_100290	GO:0000776	CC	kinetochore
MYCTH_100290	GO:0034508	BP	centromere complex assembly
MYCTH_100401	GO:0055085	BP	transmembrane transport
MYCTH_100401	GO:0016020	CC	membrane
MYCTH_100401	GO:0022857	MF	transmembrane transporter activity
MYCTH_100489	GO:0046872	MF	metal ion binding
MYCTH_100489	GO:0055114	BP	oxidation-reduction process
MYCTH_100489	GO:0016702	MF	oxidoreductase activity
MYCTH_100519	GO:0046856	BP	phosphatidylinositol dephosphorylation
MYCTH_100654	GO:0005515	MF	protein binding
MYCTH_100654	GO:0005524	MF	ATP binding
MYCTH_100654	GO:0006468	BP	protein phosphorylation
MYCTH_100654	GO:0005524	MF	ATP binding
MYCTH_100654	GO:0004672	MF	protein kinase activity
MYCTH_100654	GO:0006468	BP	protein phosphorylation
MYCTH_100654	GO:0004672	MF	protein kinase activity
MYCTH_100654	GO:0006468	BP	protein phosphorylation
MYCTH_100654	GO:0004694	MF	eukaryotic translation initiation factor 2alpha kinase activity
MYCTH_100654	GO:0010998	BP	regulation of translational initiation by eIF2 alpha phosphorylation
MYCTH_100654	GO:0000077	BP	DNA damage checkpoint
MYCTH_100777	GO:0005515	MF	protein binding
MYCTH_100809	GO:0016021	CC	integral component of membrane
MYCTH_100838	GO:0006629	BP	lipid metabolic process
MYCTH_100975	GO:0016233	BP	telomere capping
MYCTH_100975	GO:0043047	MF	single-stranded telomeric DNA binding
MYCTH_100975	GO:1990879	CC	CST complex
MYCTH_101105	GO:0007052	BP	mitotic spindle organization
MYCTH_101107	GO:0055085	BP	transmembrane transport
MYCTH_101107	GO:0022857	MF	transmembrane transporter activity
MYCTH_101107	GO:0022857	MF	transmembrane transporter activity
MYCTH_101224	GO:0010181	MF	FMN binding
MYCTH_101224	GO:0016491	MF	oxidoreductase activity
MYCTH_101224	GO:0055114	BP	oxidation-reduction process
MYCTH_101224	GO:0016705	MF	oxidoreductase activity
MYCTH_101224	GO:0005506	MF	 acting on paired donors
MYCTH_101224	GO:0020037	MF	 with incorporation or reduction of molecular oxygen
MYCTH_101224	GO:0055114	BP	iron ion binding
MYCTH_101224	GO:0016705	MF	heme binding
MYCTH_101224	GO:0020037	MF	oxidation-reduction process
MYCTH_101224	GO:0005506	MF	oxidoreductase activity
MYCTH_101224	GO:0055114	BP	 acting on paired donors
MYCTH_101224	GO:0070330	MF	 with incorporation or reduction of molecular oxygen
MYCTH_101224	GO:0003958	MF	heme binding
MYCTH_101224	GO:0055114	BP	iron ion binding
MYCTH_101224	GO:0016705	MF	oxidation-reduction process
MYCTH_101224	GO:0055114	BP	aromatase activity
MYCTH_101261	GO:0016740	MF	transferase activity
MYCTH_101261	GO:0003824	MF	catalytic activity
MYCTH_101261	GO:0031177	MF	phosphopantetheine binding
MYCTH_101354	GO:0005576	CC	extracellular region
MYCTH_101354	GO:0005975	BP	carbohydrate metabolic process
MYCTH_101354	GO:0030248	MF	cellulose binding
MYCTH_101354	GO:0005975	BP	carbohydrate metabolic process
MYCTH_101354	GO:0005576	CC	extracellular region
MYCTH_101354	GO:0030248	MF	cellulose binding
MYCTH_101394	GO:0003700	MF	DNA-binding transcription factor activity
MYCTH_101394	GO:0006355	BP	regulation of transcription
