Gene	Description	Symbol	EC
MYCTH_100011	2OG-Fe(II) oxygenase superfamily		
MYCTH_100068	Belongs to the glycosyl hydrolase 11 (cellulase G) family		3.2.1.8
MYCTH_100089	protocatechuate 3,4-dioxygenase activity		
MYCTH_100127	YCII-related domain		
MYCTH_100290	Mis6		
MYCTH_100400			
MYCTH_100401	Permease family		
MYCTH_100435			
MYCTH_100489	Lipoxygenase		
MYCTH_100518	Glycosyl hydrolase family 61		1.14.99.56
MYCTH_100519	Endonuclease/Exonuclease/phosphatase family	INP53	3.1.3.36
MYCTH_100541	CFEM domain		
MYCTH_100566	Phosphotransferase enzyme family		
MYCTH_100589	FAD binding domain		
MYCTH_100608			
MYCTH_100654	Anticodon binding domain of tRNAs(GCN2)	GCN2	2.7.11.1
MYCTH_100744	COMPASS (Complex proteins associated with Set1p) component shg1		
MYCTH_100777	Uncharacterized protein family UPF0029	YIH1	
MYCTH_100809	EXS family(SYG1)	SYG1	
MYCTH_100838	Lipase (class 3)	YJR107W	
MYCTH_100975	Telomere capping, CST complex subunit		
MYCTH_101019			
MYCTH_101105	Central kinetochore-associated		
MYCTH_101107	Major Facilitator Superfamily	DTR1	
MYCTH_101172	Fungal specific transcription factor domain		
MYCTH_101222	Domain of unknown function (DUF1996)		
MYCTH_101224	Belongs to the cytochrome P450 family	NCP1	1.14.14.1,1.6.2.4
MYCTH_101261	Phosphopantetheine attachment site	CEM1	
MYCTH_101321			
MYCTH_101345			
MYCTH_101354	Domain of unknown function (DUF1996)		
MYCTH_101394	basic region leucin zipper		
MYCTH_101399			
MYCTH_101406			
MYCTH_101411	Ribosomal protein S10p/S20e(MSW1)	MSW1	6.1.1.2
MYCTH_101506	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain(SET5)		
MYCTH_101575	RNA recognition motif		
MYCTH_101588	Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily(YMR1)	YMR1	3.1.3.64,3.1.3.95
MYCTH_101623	Belongs to the heat shock protein 70 family	SSA4	
MYCTH_101673			
MYCTH_101679	Src homology 3 domains(BUD14)		
MYCTH_101730	cornified envelope assembly		
MYCTH_10175	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	ASG1	
MYCTH_101762	to Saccharomyces cerevisiae FAF1 (YIL019W)(FAF1)	FAF1	
MYCTH_101800	Glycosyl hydrolase family 30 beta sandwich domain		
MYCTH_101870		YDR514C	
MYCTH_101972	Glycosyl hydrolase family 65, N-terminal domain		
MYCTH_102118	scytalone dehydratase		4.2.1.94
MYCTH_102133	Putative amidoligase enzyme		
MYCTH_102138	Protein of unknown function (DUF1524)		
MYCTH_102172	Aldo/keto reductase family	YPR127W	
MYCTH_102226	Calcineurin-like phosphoesterase superfamily domain		
MYCTH_102290	Enoyl-(Acyl carrier protein) reductase	SPS19	1.1.1.173,1.1.1.377,1.1.1.378
MYCTH_102295	Carbon-nitrogen hydrolase(NIT2)	NIT2	3.5.1.6
MYCTH_102297	Cysteine-rich secreted protein		
MYCTH_102322	Pectate lyase		
MYCTH_102448			
MYCTH_102510	Cupin-like domain		
MYCTH_102522	Pectate lyase superfamily protein		3.2.1.58
MYCTH_102533			
MYCTH_102652			
MYCTH_102790	Tht1-like nuclear fusion protein		
MYCTH_102792	Lactonase, 7-bladed beta-propeller		5.5.1.5
MYCTH_102797	Heavy-metal-associated domain	CCC2	
MYCTH_102849			
MYCTH_102871	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
MYCTH_102878			
MYCTH_102943	alpha/beta hydrolase fold		
MYCTH_102965	Cytochrome P450	ERG5	
MYCTH_102971	Belongs to the oxygen-dependent FAD-linked oxidoreductase family		
MYCTH_102977	Major Facilitator Superfamily		
MYCTH_102985	Condensation domain	LYS2	
MYCTH_102997	Major Facilitator Superfamily	FEN2	
MYCTH_103022			
MYCTH_103025	Vitamin B6 photo-protection and homoeostasis		
MYCTH_103032	Belongs to the glycosyl hydrolase 43 family		3.2.1.99
MYCTH_103061	polyketide synthase	CEM1	
MYCTH_103070	Lytic polysaccharide mono-oxygenase, cellulose-degrading		
MYCTH_103080	Dihydrodipicolinate synthetase family		4.1.2.53
MYCTH_103090	CFEM domain		
MYCTH_103096	Enoylreductase	CEM1	
MYCTH_103122	Protein kinase subdomain-containing protein		
MYCTH_103124			
MYCTH_103134			
MYCTH_103164	Methyltransferase domain-containing protein		
MYCTH_103320	Pyridine nucleotide-disulphide oxidoreductase		
MYCTH_103330	Peptidase dimerisation domain		3.5.1.16
MYCTH_103334	Mannan endo-1,6-alpha-mannosidase	DCW1	3.2.1.101
MYCTH_103379	N-terminal domain of oxidoreductase	YML131W	
MYCTH_103537	Glycosyl hydrolase family 61		
MYCTH_103571			
MYCTH_103590	Long-chain-alcohol oxidase		
MYCTH_103611	Annexin repeats		
MYCTH_103620	Eukaryotic protein of unknown function (DUF829)		
MYCTH_103628	Protein tyrosine kinase	YGK3	
MYCTH_103671	Protein of unknown function (DUF3292)		
MYCTH_103702	Aldose 1-epimerase	YNR071C	5.1.3.3
MYCTH_103794	Fungal trichothecene efflux pump (TRI12)	VBA2	
MYCTH_103797	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family	MAL31	
MYCTH_103818	short chain dehydrogenase		
MYCTH_103867	In Between Ring fingers		
MYCTH_104005			
MYCTH_104059	DEXDc2(RAD3)	RAD3	3.6.4.12
MYCTH_104076	C-terminal domain of alpha-glycerophosphate oxidase(GUT2)	GUT2	1.1.5.3
MYCTH_104102			
MYCTH_104106	Glycosyl hydrolase		
MYCTH_104267	Protein of unknown function (DUF1168)		
MYCTH_104380	Histone-like transcription factor (CBF/NF-Y) and archaeal histone		
MYCTH_104386	Serine aminopeptidase, S33		
MYCTH_104551	Belongs to the histidine acid phosphatase family(phyA)	PHO3	3.1.3.8
MYCTH_104570	Glycosyl hydrolase	DFG5	
MYCTH_104582	metallo-beta-lactamase		
MYCTH_104628	Glycosyl hydrolase family 3 C-terminal domain		3.2.1.37
MYCTH_104665	SET domain		
MYCTH_104673	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family	STL1	
MYCTH_104674	Belongs to the glycosyl hydrolase 31 family	ROT2	3.2.1.177
MYCTH_104717	ABC transporter transmembrane region	STE6	
MYCTH_104726	NAD dependent epimerase dehydratase family protein		
MYCTH_104802			
MYCTH_104827	bnr asp-box repeat		
MYCTH_104887			
MYCTH_104936	HIT domain(HNT2)	HNT2	3.6.1.29
MYCTH_104945	Belongs to the ubiquitin-conjugating enzyme family	RAD6	
MYCTH_104959			
