Gene	Description	Symbol	EC
ANI_1_1000014	Ribonuclease P 40kDa (Rpp40) subunit		3.1.26.5
ANI_1_1000034	GXWXG protein		
ANI_1_1000064	Histidine kinase(NIK1)		2.7.13.3
ANI_1_1000074	Regulator of Vps4 activity in the MVB pathway(IST1)		
ANI_1_1000084	Acetoacetate decarboxylase (ADC)		
ANI_1_1000124	Protein of unknown function (DUF1479)		
ANI_1_100014	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		
ANI_1_1000164			
ANI_1_100074	ATP dependent RNA helicase		3.6.4.13
ANI_1_100114			
ANI_1_100134			
ANI_1_100154	Required for proper folding and or the stability of a subset of proteins in the endoplasmic reticulum. Component of glycosylphosphatidylinositol-mannosyltransferase 1 which transfers the first of the 4 mannoses in the GPI-anchor precursors during GPI-anchor biosynthesis. Probably acts by stabilizing the mannosyltransferase gpi14 (By similarity)(PBN1)		
ANI_1_100164	Encoded by		
ANI_1_100184	Encoded by		
ANI_1_1002034	Encoded by		
ANI_1_1002064	Phenylalanyl-tRNA synthetase beta chain cytoplasmic(FRS2)		6.1.1.20
ANI_1_1002074	Major Facilitator Superfamily		
ANI_1_1002084	Hydrophobic surface binding protein A		
ANI_1_1002094	Peptidase dimerisation domain		
ANI_1_1002144	Arginine methyltransferase involved in the assembly or stability of mitochondrial NADH ubiquinone oxidoreductase complex (complex I)		
ANI_1_1002164			
ANI_1_1004014	ESSS subunit of NADH:ubiquinone oxidoreductase (complex I)		
ANI_1_1004034			
ANI_1_1004074	Arylsulfotransferase (ASST)		
ANI_1_1004084	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily		
ANI_1_1004104			
ANI_1_1004164	Alpha/beta hydrolase family		
ANI_1_10044	Aminopeptidase that preferentially cleaves tripeptides. Also has low epoxide hydrolase activity (in vitro). Can hydrolyze an epoxide moiety of LTA(4) to form LTB(4) (in vitro) (By similarity)(LAP2)		3.3.2.6
ANI_1_10054	Tripeptidyl peptidase A		3.4.14.9
ANI_1_1006034	integral membrane protein		
ANI_1_1006064	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth(IMD1)		1.1.1.205
ANI_1_1006074	Nad dependent epimerase		
ANI_1_1006084	Transcription factor		
ANI_1_1006104	efflux pump		
ANI_1_1006164	Transporter		
ANI_1_1006184	Small nucleolar ribonucleoprotein complex component (Utp5)(UTP5)		
ANI_1_1008024	Mitochondrial methylglutaconyl-CoA hydratase (Auh)		4.2.1.18
ANI_1_1008034	Pro-kumamolisin, activation domain		3.4.14.9
ANI_1_1008064	Oxidoreductase, short-chain dehydrogenase reductase family		
ANI_1_1008074	Belongs to the adaptor complexes small subunit family(aps2)		
ANI_1_1008084	Fungal trichothecene efflux pump (TRI12)		
ANI_1_1008104	thioesterase family		
ANI_1_1008124	endo-1,4-beta-xylanase activity(xlnA)		3.2.1.8
ANI_1_1008144	Clr5 domain		
ANI_1_1008184	Transcription regulator BDF1(BDF1)		
ANI_1_1010024	LipA and NB-ARC		
ANI_1_1010034	FAD binding domain		
ANI_1_1010064	Protein of unknown function (DUF952)		
ANI_1_1010084	Alpha-L-arabinofuranosidase involved in the degradation of arabinoxylan, a major component of plant hemicellulose. Acts only on small linear 1,5-alpha-linked L-arabinofuranosyl oligosaccharides		3.2.1.55
ANI_1_1010164	phosphatidylglycerol acyl-chain remodeling		
ANI_1_1012034			
ANI_1_1012064	Ras GTPase activating protein(IQG1)		
ANI_1_1012074	Diphthine synthase(DPH5)		2.1.1.314
ANI_1_1012084	Aromatic acid exporter family member 2		
ANI_1_1012094	OPT oligopeptide transporter protein		
ANI_1_1012104	Functions as actin-binding component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. Seems to contact the mother actin filament(ARC19)		
ANI_1_1012124	Inositol kinase kinase (UvsB)(MEC1)		2.7.11.1
ANI_1_1012164	Function tto1 can transpose autonomously through reverse transcription		
ANI_1_1012184	Diphthamide biosynthesis protein 3(DPH3)		
ANI_1_10134	BET3 family		
ANI_1_1014024	LEA domain protein		
ANI_1_1014034	Belongs to the mitochondrial carrier (TC 2.A.29) family		
ANI_1_1014064	Golgi to endosome transport protein (Ent3)(ENT3)		
ANI_1_1014084	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family		3.6.3.9
ANI_1_1014124	MafB19-like deaminase(TAD2)		
ANI_1_1014164	Glutamine amidotransferase class-I		3.4.19.16
ANI_1_1014184	Mitochondrial chaperone Frataxin(YFH1)		1.16.3.1
ANI_1_10154			
ANI_1_1016024	Lipase esterase		
ANI_1_1016034	Protein of unknown function (DUF1275)		
ANI_1_1016084	D-aminopeptidase, domain B		
ANI_1_1016094			
ANI_1_1016124	Forms a fork protection complex (FPC) with tof1 and which is required for chromosome segregation during meiosis and DNA damage repair. FPC coordinates leading and lagging strand synthesis and moves with the replication fork. FPC stabilizes replication forks in a configuration that is recognized by replication checkpoint sensors (By similarity)(CSM3)		
ANI_1_1016144	Peroxisomal membrane protein(PEX13)		
ANI_1_1016164	Putative FMN-binding domain		
ANI_1_1018034	Oxalate decarboxylase		
ANI_1_1018084	Function tto1 can transpose autonomously through reverse transcription		
ANI_1_1018094	Ribosomal protein L33		
ANI_1_1018104	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
ANI_1_1018124	Ran exchange factor Prp20 Pim1		
ANI_1_1018144	oxidoreductin(ERO1)		
ANI_1_1018164			
ANI_1_1018184	Exocyst complex component Sec6(SEC6)		
ANI_1_1020014	BRCT domain protein(ESC4)		
ANI_1_1020024	Involved in cytoplasm to vacuole transport (Cvt), pexophagy, mitophagy and nucleophagy. Recruits mitochondria for their selective degradation via autophagy (mitophagy) during starvation. Works as scaffold proteins that recruit ATG proteins to the pre-autophagosome (PAS), the site of vesicle autophagosome formation. Required for the Cvt vesicles completion (By similarity)(ATG11)		
ANI_1_1020034	Las17-binding protein actin regulator		
ANI_1_1020084	axe1 cleaves acetyl side chain groups		
ANI_1_1020094	Rossmann fold		
ANI_1_1020104	Protein of unknown function (DUF1348)		
ANI_1_1020124	Riboflavin-specific deaminase		1.1.1.302
ANI_1_1020134	Phosphoglycerate mutase family protein		
ANI_1_1020164	Amidohydrolase		4.1.1.46
ANI_1_1020184	50S ribosomal protein L30(MRPL33)		
