Gene	GOID	ONTOLOGY	TERM
TRIREDRAFT_102377	GO:0003677	MF	DNA binding
TRIREDRAFT_102378	GO:0007018	BP	microtubule-based movement
TRIREDRAFT_102378	GO:0008017	MF	microtubule binding
TRIREDRAFT_102378	GO:0005524	MF	ATP binding
TRIREDRAFT_102378	GO:0003777	MF	microtubule motor activity
TRIREDRAFT_102378	GO:0003777	MF	microtubule motor activity
TRIREDRAFT_102378	GO:0007018	BP	microtubule-based movement
TRIREDRAFT_102378	GO:0005524	MF	ATP binding
TRIREDRAFT_102378	GO:0003777	MF	microtubule motor activity
TRIREDRAFT_102378	GO:0007018	BP	microtubule-based movement
TRIREDRAFT_102382	GO:0019243	BP	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
TRIREDRAFT_102382	GO:0004416	MF	hydroxyacylglutathione hydrolase activity
TRIREDRAFT_102383	GO:0006364	BP	rRNA processing
TRIREDRAFT_102383	GO:0090730	CC	Las1 complex
TRIREDRAFT_102383	GO:0004519	MF	endonuclease activity
TRIREDRAFT_102401	GO:0006260	BP	DNA replication
TRIREDRAFT_102401	GO:0003677	MF	DNA binding
TRIREDRAFT_102403	GO:0000776	CC	kinetochore
TRIREDRAFT_102403	GO:0034508	BP	centromere complex assembly
TRIREDRAFT_102416	GO:0055085	BP	transmembrane transport
TRIREDRAFT_102416	GO:0022857	MF	transmembrane transporter activity
TRIREDRAFT_102416	GO:0016020	CC	membrane
TRIREDRAFT_102458	GO:0006260	BP	DNA replication
TRIREDRAFT_102458	GO:0006281	BP	DNA repair
TRIREDRAFT_102458	GO:0043138	MF	3'-5' DNA helicase activity
TRIREDRAFT_102458	GO:0003676	MF	nucleic acid binding
TRIREDRAFT_102458	GO:0005524	MF	ATP binding
TRIREDRAFT_102458	GO:0003676	MF	nucleic acid binding
TRIREDRAFT_102458	GO:0003824	MF	catalytic activity
TRIREDRAFT_102458	GO:0044237	BP	cellular metabolic process
TRIREDRAFT_102458	GO:0000166	MF	nucleotide binding
TRIREDRAFT_102458	GO:0006310	BP	DNA recombination
TRIREDRAFT_102458	GO:0004386	MF	helicase activity
TRIREDRAFT_102461	GO:0006281	BP	DNA repair
TRIREDRAFT_102461	GO:0043138	MF	3'-5' DNA helicase activity
